# Exact owner, method, supported arities, invariant return type (tab-separated).
# Only signatures whose overloads at these arities share a return type belong here.
# This is a bounded library signature catalog, not a replacement for project indexing.
java.lang.Runtime	getRuntime	0	java.lang.Runtime
javax.xml.parsers.DocumentBuilderFactory	newDocumentBuilder	0	javax.xml.parsers.DocumentBuilder
javax.xml.parsers.DocumentBuilder	parse	1,2	org.w3c.dom.Document
javax.xml.parsers.DocumentBuilder	newDocument	0	org.w3c.dom.Document
# https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/nio/file/Paths.html
# https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/nio/file/Path.html
java.nio.file.Paths	get	1,2	java.nio.file.Path
java.nio.file.Path	getFileName	0	java.nio.file.Path
# Servlet API (Jakarta Servlet 6 / javax.servlet 4) invariant return signatures:
# https://jakarta.ee/specifications/servlet/6.0/apidocs/jakarta.servlet/jakarta/servlet/http/httpservletrequest
javax.servlet.ServletRequest	getParameter	1	java.lang.String
javax.servlet.ServletRequest	getParameterValues	1	java.lang.String[]
javax.servlet.ServletRequest	getParameterMap	0	java.util.Map
javax.servlet.ServletRequest	getParameterNames	0	java.util.Enumeration
javax.servlet.ServletRequest	getReader	0	java.io.BufferedReader
javax.servlet.ServletRequest	getInputStream	0	javax.servlet.ServletInputStream
javax.servlet.ServletRequest	getServletContext	0	javax.servlet.ServletContext
javax.servlet.http.HttpServletRequest	getParameter	1	java.lang.String
javax.servlet.http.HttpServletRequest	getParameterValues	1	java.lang.String[]
javax.servlet.http.HttpServletRequest	getParameterMap	0	java.util.Map
javax.servlet.http.HttpServletRequest	getParameterNames	0	java.util.Enumeration
javax.servlet.http.HttpServletRequest	getReader	0	java.io.BufferedReader
javax.servlet.http.HttpServletRequest	getInputStream	0	javax.servlet.ServletInputStream
javax.servlet.http.HttpServletRequest	getServletContext	0	javax.servlet.ServletContext
javax.servlet.http.HttpServletRequest	getHeader	1	java.lang.String
javax.servlet.http.HttpServletRequest	getHeaders	1	java.util.Enumeration
javax.servlet.http.HttpServletRequest	getHeaderNames	0	java.util.Enumeration
javax.servlet.http.HttpServletRequest	getCookies	0	javax.servlet.http.Cookie[]
javax.servlet.http.HttpServletRequest	getSession	0,1	javax.servlet.http.HttpSession
javax.servlet.http.HttpServletRequest	getRequestURI	0	java.lang.String
javax.servlet.http.HttpServletRequest	getRequestURL	0	java.lang.StringBuffer
javax.servlet.http.HttpServletRequest	getPathInfo	0	java.lang.String
javax.servlet.http.Cookie	getValue	0	java.lang.String
javax.servlet.http.Cookie	getName	0	java.lang.String
javax.servlet.http.HttpSession	getAttribute	1	java.lang.Object
javax.servlet.ServletResponse	getOutputStream	0	javax.servlet.ServletOutputStream
javax.servlet.http.HttpServletResponse	getOutputStream	0	javax.servlet.ServletOutputStream
jakarta.servlet.ServletRequest	getParameter	1	java.lang.String
jakarta.servlet.ServletRequest	getParameterValues	1	java.lang.String[]
jakarta.servlet.ServletRequest	getParameterMap	0	java.util.Map
jakarta.servlet.ServletRequest	getParameterNames	0	java.util.Enumeration
jakarta.servlet.ServletRequest	getReader	0	java.io.BufferedReader
jakarta.servlet.ServletRequest	getInputStream	0	jakarta.servlet.ServletInputStream
jakarta.servlet.ServletRequest	getServletContext	0	jakarta.servlet.ServletContext
jakarta.servlet.http.HttpServletRequest	getParameter	1	java.lang.String
jakarta.servlet.http.HttpServletRequest	getParameterValues	1	java.lang.String[]
jakarta.servlet.http.HttpServletRequest	getParameterMap	0	java.util.Map
jakarta.servlet.http.HttpServletRequest	getParameterNames	0	java.util.Enumeration
jakarta.servlet.http.HttpServletRequest	getReader	0	java.io.BufferedReader
jakarta.servlet.http.HttpServletRequest	getInputStream	0	jakarta.servlet.ServletInputStream
jakarta.servlet.http.HttpServletRequest	getServletContext	0	jakarta.servlet.ServletContext
jakarta.servlet.http.HttpServletRequest	getHeader	1	java.lang.String
jakarta.servlet.http.HttpServletRequest	getHeaders	1	java.util.Enumeration
jakarta.servlet.http.HttpServletRequest	getHeaderNames	0	java.util.Enumeration
jakarta.servlet.http.HttpServletRequest	getCookies	0	jakarta.servlet.http.Cookie[]
jakarta.servlet.http.HttpServletRequest	getSession	0,1	jakarta.servlet.http.HttpSession
jakarta.servlet.http.HttpServletRequest	getRequestURI	0	java.lang.String
jakarta.servlet.http.HttpServletRequest	getRequestURL	0	java.lang.StringBuffer
jakarta.servlet.http.HttpServletRequest	getPathInfo	0	java.lang.String
jakarta.servlet.http.Cookie	getValue	0	java.lang.String
jakarta.servlet.http.Cookie	getName	0	java.lang.String
jakarta.servlet.http.HttpSession	getAttribute	1	java.lang.Object
jakarta.servlet.ServletResponse	getOutputStream	0	jakarta.servlet.ServletOutputStream
jakarta.servlet.http.HttpServletResponse	getOutputStream	0	jakarta.servlet.ServletOutputStream
# https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/String.html (and StringBuilder/StringBuffer, java.net.URLDecoder/URLEncoder)
java.lang.String	substring	1,2	java.lang.String
java.lang.String	trim	0	java.lang.String
java.lang.String	strip	0	java.lang.String
java.lang.String	toLowerCase	0,1	java.lang.String
java.lang.String	toUpperCase	0,1	java.lang.String
java.lang.String	concat	1	java.lang.String
java.lang.String	replace	2	java.lang.String
java.lang.String	replaceAll	2	java.lang.String
java.lang.String	replaceFirst	2	java.lang.String
java.lang.String	repeat	1	java.lang.String
java.lang.String	intern	0	java.lang.String
java.lang.String	toString	0	java.lang.String
java.lang.String	split	1,2	java.lang.String[]
java.lang.String	toCharArray	0	char[]
java.lang.String	getBytes	0,1	byte[]
java.lang.String	valueOf	1	java.lang.String
java.lang.String	format	2,3,4,5,6	java.lang.String
java.lang.StringBuilder	toString	0	java.lang.String
java.lang.StringBuilder	append	1	java.lang.StringBuilder
java.lang.StringBuffer	toString	0	java.lang.String
java.lang.StringBuffer	append	1	java.lang.StringBuffer
java.net.URLDecoder	decode	1,2	java.lang.String
java.net.URLEncoder	encode	1,2	java.lang.String
